"","ENSEMBLE","gene","module","merged_module","cor_abs","cor"
"843","ENSG00000163635","ATXN7","blue","blue",0.000916727777566882,-0.000916727777566882
"1163","ENSG00000197555","SIPA1L1","blue","blue",0.00090933990709041,-0.00090933990709041
"1320","ENSG00000242193","CRYZL2P","blue","blue",0.000900422685797701,0.000900422685797701
"352","ENSG00000117868","ESYT2","blue","blue",0.0008946766961748,-0.0008946766961748
"1207","ENSG00000204104","TRAF3IP1","blue","blue",0.000893366701171766,0.000893366701171766
"25","ENSG00000011028","MRC2","blue","blue",0.000891197842325625,0.000891197842325625
"483","ENSG00000131263","RLIM","blue","blue",0.000890406801057678,-0.000890406801057678
"1394","ENSG00000273032","DGCR5","blue","blue",0.000883809928282667,0.000883809928282667
"282","ENSG00000111261","MANSC1","blue","blue",0.000880940320312377,-0.000880940320312377
"493","ENSG00000132016","BRME1","blue","blue",0.000876017659975191,0.000876017659975191
"1351","ENSG00000257242","LINC01619","blue","blue",0.000865928245536589,0.000865928245536589
"629","ENSG00000142549","IGLON5","blue","blue",0.000853079880767648,0.000853079880767648
"301","ENSG00000112658","SRF","blue","blue",0.000847777206305623,-0.000847777206305623
"490","ENSG00000131848","ZSCAN5A","blue","blue",0.000842912099118123,0.000842912099118123
"1271","ENSG00000227199","ST7-AS1","blue","blue",0.000841260502636621,0.000841260502636621
"1028","ENSG00000177990","DPY19L2","blue","blue",0.000840213629623312,0.000840213629623312
"439","ENSG00000127054","INTS11","blue","blue",0.000834496952790436,0.000834496952790436
"914","ENSG00000168546","GFRA2","blue","blue",0.000831208164691802,0.000831208164691802
"511","ENSG00000134222","PSRC1","blue","blue",0.00080189069449291,-0.00080189069449291
"916","ENSG00000168679","SLC16A4","blue","blue",0.000791124595218771,-0.000791124595218771
"1205","ENSG00000203880","PCMTD2","blue","blue",0.000789985748093497,0.000789985748093497
"1232","ENSG00000214595","EML6","blue","blue",0.000779685274507588,0.000779685274507588
"230","ENSG00000106003","LFNG","blue","blue",0.000778153513021093,-0.000778153513021093
"723","ENSG00000152518","ZFP36L2","blue","blue",0.000769152834195342,-0.000769152834195342
"1034","ENSG00000178966","RMI1","blue","blue",0.000759940660615514,0.000759940660615514
"641","ENSG00000143473","KCNH1","blue","blue",0.00075716578469781,-0.00075716578469781
"1065","ENSG00000182492","BGN","blue","blue",0.000745378591801577,-0.000745378591801577
"631","ENSG00000142621","FHAD1","blue","blue",0.000743248633427126,0.000743248633427126
"110","ENSG00000079112","CDH17","blue","blue",0.000725213095992513,-0.000725213095992513
"302","ENSG00000112773","TENT5A","blue","blue",0.000717847208310494,-0.000717847208310494
"105","ENSG00000078053","AMPH","blue","blue",0.000711777344148948,-0.000711777344148948
"544","ENSG00000136720","HS6ST1","blue","blue",0.000710438215609323,0.000710438215609323
"100","ENSG00000077150","NFKB2","blue","blue",0.000651671689561833,-0.000651671689561833
"809","ENSG00000161638","ITGA5","blue","blue",0.000646482459843592,-0.000646482459843592
"214","ENSG00000104290","FZD3","blue","blue",0.000646277003039419,-0.000646277003039419
"451","ENSG00000128000","ZNF780B","blue","blue",0.000639385560348541,0.000639385560348541
"223","ENSG00000105668","UPK1A","blue","blue",0.000638131786724542,-0.000638131786724542
"438","ENSG00000126950","TMEM35A","blue","blue",0.00063528089155535,0.00063528089155535
"468","ENSG00000130287","NCAN","blue","blue",0.000633479086048406,0.000633479086048406
