"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2","cluster_3"
"ENSG00000162998",637.522669324359,1.06762178057948,0.12433960003332,8.58633758105531,8.97855946281122e-18,2.59732398214551e-15,"FRZB",2,2,2
"ENSG00000163618",12.8765618436782,1.4248035571991,0.309078334699078,4.60984610450392,4.02967155524851e-06,0.000111672696259652,"CADPS",2,2,2
"ENSG00000163638",70.8690207581852,-1.45873305985604,0.174348829842472,-8.36674992986211,5.92292130628161e-17,1.39518642027539e-14,"ADAMTS9",1,4,4
"ENSG00000163710",23.3243951768102,-1.53301321017383,0.260437031959282,-5.8863104015619,3.94912314976668e-09,2.35079753128169e-07,"PCOLCE2",1,1,5
"ENSG00000163873",28.4023836199951,2.75349593267701,0.315435694123354,8.72918310760428,2.56518629852027e-18,8.45947137526015e-16,"GRIK3",2,2,2
"ENSG00000164056",180.448890189175,-1.50740763928398,0.21628240101587,-6.96962689614937,3.17782625233455e-12,3.29554572797135e-10,"SPRY1",1,1,5
"ENSG00000164120",4.51323079453677,1.45456607880346,0.424909408802789,3.42323810362732,0.000618798484820598,0.00781268622986741,"HPGD",2,5,7
"ENSG00000164142",17.2496783188685,-1.15212463054969,0.273831048851603,-4.20742876084173,2.58292790217672e-05,0.00054742799715928,"FHIP1A",1,1,1
"ENSG00000164161",14.4081456209589,2.62691484037433,0.417335245635947,6.29449553528929,3.08401153365866e-10,2.26010071904434e-08,"HHIP",2,2,2
"ENSG00000164651",38.7906738714652,-2.06762208294112,0.218418126210775,-9.46634841535928,2.89797546389212e-21,1.54144249755217e-18,"SP8",1,1,5
"ENSG00000164690",292.385088583986,2.66409803529561,0.39023879767825,6.82684051700096,8.6805102446187e-12,8.41958431903046e-10,"SHH",2,2,2
"ENSG00000164946",17.8786872290818,1.26219493110754,0.218939690492683,5.76503478317342,8.16410017634326e-09,4.57883836080694e-07,"FREM1",2,2,2
"ENSG00000164951",87.1932089804139,-1.32952801925719,0.133440323322374,-9.96346521167539,2.20249275785341e-23,1.51320429517687e-20,"PDP1",1,1,5
"ENSG00000164976",5.4426396913244,1.61152924446998,0.395576261104575,4.07387753746919,4.62368008358107e-05,0.000895885556970249,"MYORG",2,2,6
"ENSG00000165105",8.41432456629601,1.15095693278158,0.343784398784857,3.3479033279281,0.000814254092194528,0.00968005459711289,"RASEF",2,3,3
"ENSG00000165309",11.6479311271829,1.21580689911765,0.313143118269244,3.88259178690393,0.0001033489855184,0.00178816518595268,"ARMC3",2,2,2
"ENSG00000165409",4.82572669599978,1.83216203596999,0.462370864494303,3.96253781685366,7.41572561190785e-05,0.00133637048759288,"TSHR",2,2,2
"ENSG00000165443",9.03834025407867,-1.25513931825203,0.372228322732698,-3.37196081436651,0.000746350665267219,0.00907564610589319,"PHYHIPL",1,1,5
"ENSG00000165588",538.279709834641,-1.16675872280062,0.0853117461891139,-13.6764135646012,1.40451094631161e-42,7.71966033124404e-39,"OTX2",1,1,5
