"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type","cluster_1","cluster_2","cluster_3"
"ENSG00000146592",125.178436118683,3.46062307563564,0.232000383203388,14.9164541362064,2.57603509937381e-50,4.77491865215969e-48,"CREB5","dorsal",4,5,5
"ENSG00000255690",21.657631270528,-1.11448192128845,0.292560836026805,-3.80940229876271,0.000139303138882317,0.000664063802132631,"TRIL","dorsal",5,6,10
"ENSG00000176532",35.4186387053325,-1.3564630582936,0.261904172455106,-5.17923424273097,2.22798564724928e-07,1.86237749462711e-06,"PRR15","dorsal",1,1,1
"ENSG00000136193",448.117489042376,1.20332121485256,0.0853391978479701,14.1004514361179,3.77348051247803e-45,5.58475115846748e-43,"SCRN1","dorsal",3,3,3
"ENSG00000078549",16.5583559355909,-1.91263381328823,0.380545409975463,-5.02603306504618,5.00729590537295e-07,3.92766201418983e-06,"ADCYAP1R1","dorsal",1,1,1
"ENSG00000106341",13.4324958702531,-3.68519773352003,0.535068442928154,-6.88733896051287,5.6845665224276e-12,9.26021706878734e-11,"PPP1R17","dorsal",1,1,1
"ENSG00000154678",28.8906521204486,3.84246121679484,0.591247364312647,6.49890629324307,8.09060345598379e-11,1.1266652164963e-09,"PDE1C","dorsal",3,3,3
"ENSG00000122642",75.0601270409851,1.7344521985082,0.199475949626572,8.69504419833658,3.46694804882607e-18,1.06932103631967e-16,"FKBP9","dorsal",2,2,2
"ENSG00000164542",36.7384681862183,1.93099842598328,0.270859835824902,7.12914271731146,1.00995973439486e-12,1.77388695943576e-11,"MATCAP2","dorsal",2,2,2
"ENSG00000136250",2.23388273571097,4.21279890012715,1.25978653070652,3.3440577410877,0.000825625516352589,0.00325007058932033,"AOAH","dorsal",3,3,3
"ENSG00000155849",20.3448329906596,1.57620173383092,0.374789338055026,4.20556716477218,2.60428231032722e-05,0.000146972976260027,"ELMO1","dorsal",3,3,3
"ENSG00000106483",3.03932434441868,4.76990820713239,1.36171233480851,3.5028750824991,0.000460265258855955,0.00194196338609456,"SFRP4","dorsal",3,3,3
"ENSG00000106571",448.513568095127,1.74671146885044,0.0971789162146816,17.9741814056839,3.10411509162668e-72,1.20946459855789e-69,"GLI3","dorsal",3,3,8
"ENSG00000164543",65.8087964523593,1.0159985447368,0.171521674865419,5.92344113671922,3.15273613030955e-09,3.53239660797359e-08,"STK17A","dorsal",3,3,3
"ENSG00000106624",154.818534110468,2.15213136962092,0.181243041318181,11.8742841323367,1.61006415116457e-32,1.37229217741223e-30,"AEBP1","dorsal",4,5,5
