"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","type"
"ENSG00000213347",36.3997673189821,1.20418007474737,0.198291281435289,6.07278376553506,1.25711683001464e-09,1.11576102646188e-08,"MXD3","dorsal"
"ENSG00000146094",3.16303029675961,-1.82441370616343,0.508809527152509,-3.5856516216855,0.000336237578489744,0.00124345637822967,"DOK3","dorsal"
"ENSG00000146090",2.90956773700838,2.85358688502813,0.828175766612552,3.44562953912552,0.000569730826027273,0.00200061976363015,"RASGEF1C","dorsal"
"ENSG00000131459",40.9447603844447,-1.40435221839333,0.170326507548476,-8.24505967160542,1.65077819148417e-16,3.04676899112189e-15,"GFPT2","dorsal"
"ENSG00000112699",22.0341463541672,-1.18674803051602,0.235455243852202,-5.04022765048696,4.64978404033989e-07,2.86063423553875e-06,"GMDS","dorsal"
"ENSG00000170542",67.3359025827929,-1.84021408725346,0.405576211059642,-4.53728309765893,5.69835894895901e-06,2.91972196083889e-05,"SERPINB9","dorsal"
"ENSG00000137267",681.893735792645,1.5149300967606,0.183198217251039,8.26934955750508,1.34691818124352e-16,2.50913769397697e-15,"TUBB2A","dorsal"
"ENSG00000168994",43.1643611792253,1.2592468520295,0.199730831411408,6.30471942228932,2.88716435033186e-10,2.75605507056058e-09,"PXDC1","dorsal"
"ENSG00000124787",17.8388003231163,-1.47567820814941,0.221354188975488,-6.66659264493439,2.61810446329734e-11,2.82461081210415e-10,"RPP40","dorsal"
"ENSG00000124785",37.2666105318837,3.01206496811974,0.292923468376828,10.282771076044,8.42692508013722e-25,3.0541868212403e-23,"NRN1","dorsal"
"ENSG00000285219",10.2932864278504,1.36398790984704,0.366455679694022,3.72210879903928,0.000197565855405049,0.000765500607768498,"LOC100506207","dorsal"
"ENSG00000137203",23.4938678911309,5.81003420201483,0.692219081949049,8.39334591247584,4.72498791643339e-17,9.19668700693711e-16,"TFAP2A","dorsal"
"ENSG00000111846",118.543097539413,-1.75562419280154,0.101996483905476,-17.212595234445,2.13639278656185e-66,5.33297049345503e-64,"GCNT2","dorsal"
"ENSG00000197977",30.1349365249552,4.73027829576978,0.465766065046266,10.1559101247531,3.11886447497503e-24,1.08887628610579e-22,"ELOVL2","dorsal"
"ENSG00000111859",98.4393129742553,4.18834887549815,0.238006740725753,17.5976061128632,2.56958193548162e-69,7.22740158472787e-67,"NEDD9","dorsal"
"ENSG00000205269",57.8641178987462,1.91242391088536,0.20110219916161,9.50971157380776,1.91191897713089e-21,5.32510766712747e-20,"TMEM170B","dorsal"
"ENSG00000112137",3.73336713720032,-1.48814142516973,0.480164826196178,-3.09923039752547,0.001940240732954,0.00600629475075049,"PHACTR1","dorsal"
"ENSG00000215022",9.09152937377515,-1.18404811516851,0.295831450459923,-4.00244163806011,6.26921353681523e-05,0.000268949934114286,"LOC100130357","dorsal"
"ENSG00000124523",61.2313122320845,-1.04042860143542,0.117614483847002,-8.84609248286847,9.06371514690262e-19,2.04061320725643e-17,"SIRT5","dorsal"
"ENSG00000180537",16.6850513141507,1.61613699842101,0.292982003985607,5.51616473515694,3.46477505357467e-08,2.52800722761732e-07,"RNF182","dorsal"
"ENSG00000008083",448.955280539572,-1.25193138178085,0.135798295424093,-9.21905078315688,2.99741821722505e-20,7.59624895913507e-19,"JARID2","dorsal"
"ENSG00000007944",56.8085049933005,-1.23040695130257,0.240377312496314,-5.11864842203623,3.07733010145065e-07,1.94722059968218e-06,"MYLIP","dorsal"
"ENSG00000112186",144.092898525526,1.65450394275927,0.119211798211573,13.8786929446606,8.52849686651656e-44,8.87052512626749e-42,"CAP2","dorsal"
"ENSG00000228412",3.06674761870416,2.52424450324507,0.721742626621517,3.49743026133994,0.000469763516460174,0.0016827224078403,"LNC-LBCS","dorsal"
"ENSG00000172201",583.379986567957,3.9422358287483,0.229703776335789,17.1622595485126,5.08944545155779e-66,1.23946616667816e-63,"ID4","dorsal"
"ENSG00000172197",26.3089028453437,-2.52557448705272,0.212160413258634,-11.9040797869012,1.12699659670188e-32,6.63897405195768e-31,"MBOAT1","dorsal"
"ENSG00000111801",8.0572559894645,1.55112627170612,0.409717927231134,3.78583939977585,0.00015319059143573,0.000609041630693118,"BTN3A3","dorsal"
"ENSG00000112812",9.93530143538099,-1.61481371587522,0.33680412407077,-4.79451883295798,1.63065745745307e-06,9.20812578217259e-06,"PRSS16","dorsal"
"ENSG00000216901",9.48607826826241,2.30396416664658,0.444197940725743,5.18679614516514,2.13942695929304e-07,1.38895826973609e-06,"ZNF603P","dorsal"
"ENSG00000234745",39.4737901569126,1.14039053355693,0.368486371589342,3.09479704402156,0.00196947613182757,0.0060826536270641,"HLA-B","dorsal"
"ENSG00000204520",14.4210699241067,1.04283059013358,0.284817666087454,3.66139714737137,0.000250843562500371,0.000951251614287302,"MICA","dorsal"
"ENSG00000213722",16.090432979824,1.75305111198826,0.284914554098931,6.15290123571415,7.60781865898395e-10,6.90896492132376e-09,"DDAH2","dorsal"
"ENSG00000213719",9.76970241712665,1.1802254631454,0.34912931037948,3.38048232576801,0.000723587286182727,0.0024845319988083,"CLIC1","dorsal"
"ENSG00000204257",5.67991969824956,-1.99112762510825,0.469881254153234,-4.23751236617522,2.26009975096302e-05,0.000105158881702543,"HLA-DMA","dorsal"
"ENSG00000204227",17.3480386383416,1.26186978507298,0.266934203897489,4.72726899231532,2.27559720937441e-06,1.25258203614132e-05,"RING1","dorsal"
"ENSG00000096433",43.2198656722541,-2.24416187841033,0.26824072799383,-8.36622348587553,5.9494306103219e-17,1.14554993165341e-15,"ITPR3","dorsal"
"ENSG00000124493",13.5061496185859,-4.07083768275364,0.366829568725228,-11.0973542751754,1.29212360393121e-28,5.78558483643639e-27,"GRM4","dorsal"
"ENSG00000124507",6.42396491345702,-2.57366069762014,0.43120830948878,-5.96848585935496,2.39465395000083e-09,2.03928526147192e-08,"PACSIN1","dorsal"
"ENSG00000146197",331.724359111778,2.53369918768477,0.130335581406095,19.4398119097681,3.55466531560604e-84,1.54318839897071e-81,"SCUBE3","dorsal"
"ENSG00000196748",2.81816795489801,-2.31136657753228,0.621225522483244,-3.72065617699186,0.000198705813470381,0.000769469671321214,"CLPSL2","dorsal"
"ENSG00000112078",171.912085233723,1.16317717277917,0.0867687925579198,13.4054783809827,5.61599872946344e-41,5.2653283862622e-39,"KCTD20","dorsal"
"ENSG00000124762",429.552389347725,3.03540785641228,0.259193856706455,11.7109560194938,1.12009461860894e-31,6.179085506525e-30,"CDKN1A","dorsal"
"ENSG00000285244",1.71438214853392,3.27867382068352,1.07531191367987,3.04904444838098,0.00229570512970254,0.00695045958765307,"DINOL","dorsal"
"ENSG00000183826",28.8602703735826,1.06345135605615,0.187796068966617,5.66279881100811,1.48923731200133e-08,1.13772261364447e-07,"BTBD9","dorsal"
"ENSG00000164626",23.3468622698618,-1.63550381723942,0.235102892928496,-6.9565448424186,3.48719294391109e-12,4.16005036379358e-11,"KCNK5","dorsal"
"ENSG00000204091",2.26486928644574,-3.57647675270563,0.802398084183086,-4.45723491020896,8.30236081881338e-06,4.13255597087994e-05,"TDRG1","dorsal"
"ENSG00000137166",65.1722247872794,1.52884291404886,0.162958184984224,9.38181113269554,6.48490640596564e-21,1.72671441236178e-19,"FOXP4","dorsal"
"ENSG00000112576",43.6763939020358,1.46376805752477,0.196903323125185,7.4339428826915,1.05407499633621e-13,1.47718439837433e-12,"CCND3","dorsal"
"ENSG00000188112",43.4801034980535,-3.36854008899899,0.504670360171171,-6.67473336031952,2.47682069749224e-11,2.67652106758226e-10,"C6orf132","dorsal"
"ENSG00000048545",24.7774650898783,-1.23312858950492,0.23846273742792,-5.1711584074122,2.32647241167241e-07,1.49869851809994e-06,"GUCA1A","dorsal"
"ENSG00000124659",44.0193712761777,-1.07950528566515,0.15622605526858,-6.9098927436226,4.85020273446752e-12,5.6775233650244e-11,"TBCC","dorsal"
"ENSG00000112624",22.719769626598,-1.0062975235718,0.192459704143347,-5.22861410418823,1.70785416836203e-07,1.12821196633112e-06,"BICRAL","dorsal"
"ENSG00000146215",11.0681292483614,-1.5795388746597,0.271397166705226,-5.82002713526961,5.88380743784943e-09,4.74515258783487e-08,"CRIP3","dorsal"
"ENSG00000170734",91.7946723960376,1.36004213434407,0.147632866103241,9.21232629455951,3.19132293414869e-20,8.0569809096017e-19,"POLH","dorsal"
"ENSG00000172426",14.1612320650119,1.15535559703541,0.304103420390113,3.79921934305535,0.000145152585358422,0.000579044572434616,"RSPH9","dorsal"
"ENSG00000137225",1.89062886761959,-3.20611623990689,0.771678522782709,-4.15473042886497,3.25671268340348e-05,0.000147174818482841,"CAPN11","dorsal"
"ENSG00000262179",7.42987100261392,-3.8485844519304,0.461804998706239,-8.33378690727109,7.82967931447434e-17,1.49482500870031e-15,"MYMX","dorsal"
"ENSG00000112759",118.303182617482,-1.15656664977037,0.123432813683047,-9.37000960490316,7.25259276344011e-21,1.92087901174932e-19,"SLC29A1","dorsal"
"ENSG00000146232",38.4565897618888,1.15106222234718,0.193543959596446,5.947290862227,2.72616740401433e-09,2.30294259975322e-08,"NFKBIE","dorsal"
"ENSG00000112796",18.8785347166952,-1.84863426054553,0.230751679656299,-8.0113577647584,1.13448891090259e-15,1.93638833766879e-14,"ENPP5","dorsal"
"ENSG00000146070",8.4005456399956,-4.03768742317922,0.449065312430217,-8.99131442891542,2.44291078758034e-19,5.71921786963417e-18,"PLA2G7","dorsal"
"ENSG00000146072",96.5821715965658,1.38830223014406,0.195324925694404,7.10765523247214,1.18030950935469e-12,1.47779190606979e-11,"TNFRSF21","dorsal"
"ENSG00000198087",177.753764650037,-1.13513462183943,0.124909553155462,-9.08765257070964,1.01200331785864e-19,2.44078577990785e-18,"CD2AP","dorsal"
"ENSG00000244694",134.274813001531,5.47143745845072,0.31087181445178,17.6003008445766,2.45019254407631e-69,6.99004930074341e-67,"PTCHD4","dorsal"
"ENSG00000197261",11.8652522319691,-1.46055509613335,0.27178548997104,-5.37392594538061,7.70405087422874e-08,5.36623285519177e-07,"C6orf141","dorsal"
"ENSG00000008196",105.941075229032,7.78518187730185,0.740180609293107,10.5179489702343,7.14111493524022e-26,2.75305145283296e-24,"TFAP2B","dorsal"
"ENSG00000096093",132.634127826784,1.25719999303873,0.133166172675633,9.44083597041586,3.69816985963386e-21,1.00071073302017e-19,"EFHC1","dorsal"
