#node	identifier	node_degree
GLP1R	9606.ENSP00000362353	23
GLRA3	9606.ENSP00000274093	3
GLRB	9606.ENSP00000264428	3
GNG11	9606.ENSP00000248564	35
GNG3	9606.ENSP00000294117	38
GOLGA6L2	9606.ENSP00000454407	0
GPA33	9606.ENSP00000356842	2
GPAT3	9606.ENSP00000264409	5
GPC3	9606.ENSP00000377836	55
GPD1L	9606.ENSP00000282541	22
GPM6B	9606.ENSP00000316861	5
GPR176	9606.ENSP00000453076	3
GPR3	9606.ENSP00000363136	3
GPR85	9606.ENSP00000297146	4
GPRIN3	9606.ENSP00000476603	0
GPX7	9606.ENSP00000354677	26
GRAMD1B	9606.ENSP00000402457	1
GRB7	9606.ENSP00000403459	18
GREM2	9606.ENSP00000318650	11
GRHL1	9606.ENSP00000324693	1
GRHL3	9606.ENSP00000288955	6
GRIA1	9606.ENSP00000428994	54
GRIA3	9606.ENSP00000481554	27
GRIA4	9606.ENSP00000282499	34
GRID1	9606.ENSP00000330148	6
GRID2	9606.ENSP00000282020	27
GRIK2	9606.ENSP00000397026	28
GRIK3	9606.ENSP00000362183	21
GRIN2B	9606.ENSP00000477455	60
GRIP2	9606.ENSP00000478352	7
GRPR	9606.ENSP00000369643	22
GSE1	9606.ENSP00000253458	0
GTF2IRD2B	9606.ENSP00000480524	1
GUCY1A2	9606.ENSP00000282249	8
GUCY1B1	9606.ENSP00000426786	8
H2BC8	9606.ENSP00000445633	2
HABP4	9606.ENSP00000364398	9
HAPLN3	9606.ENSP00000457180	2
HBE1	9606.ENSP00000292896	3
HBEGF	9606.ENSP00000230990	50
HCFC1R1	9606.ENSP00000248089	0
HCK	9606.ENSP00000365012	16
HCRT	9606.ENSP00000293330	32
HDC	9606.ENSP00000267845	13
HECW2	9606.ENSP00000260983	5
HEG1	9606.ENSP00000311502	0
HES1	9606.ENSP00000232424	17
HES4	9606.ENSP00000393198	4
HES6	9606.ENSP00000272937	7
HESX1	9606.ENSP00000498190	10
HEY1	9606.ENSP00000338272	27
HEY2	9606.ENSP00000357348	16
HEYL	9606.ENSP00000361943	6
HHIP	9606.ENSP00000296575	21
HID1	9606.ENSP00000413520	1
HLCS	9606.ENSP00000382071	3
HLTF	9606.ENSP00000308944	9
HMCN2	9606.ENSP00000485357	0
HMX1	9606.ENSP00000383516	0
HOPX	9606.ENSP00000450527	21
HOXA2	9606.ENSP00000222718	18
HOXB2	9606.ENSP00000331741	8
HPCAL4	9606.ENSP00000481834	5
HPGD	9606.ENSP00000296522	8
HPSE2	9606.ENSP00000359583	4
HRC	9606.ENSP00000252825	6
HRH1	9606.ENSP00000380247	6
HRK	9606.ENSP00000257572	5
HS3ST3B1	9606.ENSP00000354213	7
HS6ST2	9606.ENSP00000429473	8
HSD17B2	9606.ENSP00000199936	7
HSD17B8	9606.ENSP00000363794	5
HSPA13	9606.ENSP00000285667	6
