gene1,gene2,STRING_score,double,gene_mouse,scRNA,gene_SHH_link,gene1_SHH_corr,gene2_SHH_corr
COL23A1,COL8A1,0.642,keep,NA,expressed,FALSE,0.00423384613951103,0.00408483328757876
COL23A1,COL27A1,0.571,keep,NA,expressed,FALSE,0.00423384613951103,0.00016037723319966
COL23A1,COL8A2,0.608,keep,NA,expressed,FALSE,0.00423384613951103,0.000133472369372195
COL27A1,COL8A1,0.542,keep,NA,expressed,FALSE,0.00016037723319966,0.00408483328757876
COL27A1,COL8A2,0.599,keep,NA,expressed,FALSE,0.00016037723319966,0.000133472369372195
COL8A1,NID1,0.405,keep,NA,expressed,FALSE,0.00408483328757876,0.136260757932666
COL8A1,TGFBR1,0.556,keep,NA,expressed,FALSE,0.00408483328757876,0.0370457019540602
COL8A1,COL8A2,0.927,keep,NA,expressed,FALSE,0.00408483328757876,0.000133472369372195
COL8A2,CYYR1,0.583,keep,NA,expressed,FALSE,0.000133472369372195,0.139862974726801
COPS8,POLR2I,0.549,keep,NA,expressed,FALSE,0.00165881266174951,0.00204163329135895
COPS8,STAMBPL1,0.406,keep,NA,expressed,FALSE,0.00165881266174951,0.000475375222696136
COPS8,ERCC6,0.507,keep,NA,expressed,FALSE,0.00165881266174951,0.00204251279467302
COPS8,DCAF7,0.521,keep,NA,expressed,FALSE,0.00165881266174951,0.0149811997192877
CPE,SCG3,0.803,keep,NA,expressed,FALSE,9.93491812086284e-06,0.0512999834076458
CPE,FOXO1,0.492,keep,NA,expressed,FALSE,9.93491812086284e-06,0.0773664950596631
CPEB3,IGF1R,0.543,keep,NA,expressed,FALSE,0.000409790485785719,0.171417071798311
CPEB3,STAU2,0.577,keep,NA,expressed,FALSE,0.000409790485785719,0.0037339120626757
CRYL1,HPGD,0.62,keep,NA,expressed,FALSE,3.77191319245461e-05,0.000953838994481211
CRYL1,ECHDC2,0.738,keep,NA,expressed,FALSE,3.77191319245461e-05,0.0637242505088718
CRYL1,HADHB,0.872,keep,NA,expressed,FALSE,3.77191319245461e-05,0.0516989312277486
CTDSP1,PHF10,0.438,keep,NA,expressed,FALSE,0.0313519560314739,4.88865345550198e-05
CUX1,DCX,0.442,keep,NA,expressed,FALSE,0.00281861386672891,0.327478501750503
CUX1,PTBP2,0.456,keep,NA,expressed,FALSE,0.00281861386672891,5.83604889226493e-05
CUX1,SOX5,0.484,keep,NA,expressed,FALSE,0.00281861386672891,0.0556007423463522
CUX1,NES,0.526,keep,NA,expressed,FALSE,0.00281861386672891,0.173820223332922
