"","gene","category"
"MTARC2","MTARC2","cyclo"
"OTOG","OTOG","cyclo"
"SLC16A1-AS1","SLC16A1-AS1","cyclo"
"LIPT2","LIPT2","cyclo"
"ENPP3","ENPP3","cyclo"
"SYNPO2","SYNPO2","cyclo"
"ATP9A","ATP9A","kinetic"
"DIP2B","DIP2B","kinetic"
"FGF10","FGF10","kinetic"
"FRY","FRY","kinetic"
"RARB","RARB","kinetic"
"FKBP7","FKBP7","kinetic"
"MMP2","MMP2","kinetic"
"PCSK5","PCSK5","kinetic"
"MACROH2A2","MACROH2A2","kinetic"
"PCDH11Y","PCDH11Y","kinetic"
"TTC28","TTC28","kinetic"
"KCNK10","KCNK10","kinetic"
"ATP8B4","ATP8B4","kinetic"
"PTN","PTN","kinetic"
"GSDME","GSDME","kinetic"
"RNF32","RNF32","kinetic"
"MAP2K6","MAP2K6","kinetic"
"MAPK10","MAPK10","kinetic"
"GLRB","GLRB","kinetic"
"PTPN5","PTPN5","kinetic"
"CD83","CD83","kinetic"
"SOBP","SOBP","kinetic"
"HES1","HES1","kinetic"
"FRMD4B","FRMD4B","kinetic"
"TNNC1","TNNC1","kinetic"
"ODC1","ODC1","kinetic"
"PRRX1","PRRX1","kinetic"
"MYCL","MYCL","kinetic"
"RGS4","RGS4","kinetic"
"PIK3R3","PIK3R3","kinetic"
"NR4A3","NR4A3","kinetic"
"PRXL2A","PRXL2A","kinetic"
"NPY","NPY","kinetic"
"ARL4A","ARL4A","kinetic"
"CHST3","CHST3","kinetic"
"MXD4","MXD4","kinetic"
"SERPINB6","SERPINB6","kinetic"
"COL21A1","COL21A1","kinetic"
"SOX4","SOX4","kinetic"
"EFNB2","EFNB2","kinetic"
"BMP2","BMP2","kinetic"
"ZNF436","ZNF436","kinetic"
"ATP13A4","ATP13A4","kinetic"
"AJUBA","AJUBA","kinetic"
"ZSWIM6","ZSWIM6","kinetic"
"RFTN1","RFTN1","kinetic"
"WASF3","WASF3","kinetic"
"NOTCH2","NOTCH2","kinetic"
"DTX1","DTX1","kinetic"
"ANKRD6","ANKRD6","kinetic"
"EPHA7","EPHA7","kinetic"
"NPL","NPL","kinetic"
"PLXNC1","PLXNC1","kinetic"
