"","genes","state"
"540","ANKRD65","common"
"541","LINC02984","common"
"542","L1TD1","Het_Con"
"543","RPSAP52","Het_Con"
"544","LOC102546299","Het_Con"
"545","ARHGDIG","Het_Con"
"546","LINC02082","Het_Con"
"547","CCDC169","Het_Con"
"548","ETV5","Het_Con"
"549","RPS17P11","Het_Con"
"550","PTCHD4","Het_Con"
"551","HHIP-AS1","common"
"552","LINC02997","Het_Con"
"553","TMEM158","Het_Con"
"554","PURPL","Het_Con"
"555","ADAMTS16-DT","Het_Con"
"556","LINC02381","Het_Con"
"557","NKX2-1-AS1","common"
"558","ZFHX4-AS1","Het_Con"
"559","FLJ20021","Het_Con"
"560","MAGEL2","Het_Con"
"561","RTL1","common"
"562","KIRREL3-AS2","Het_Con"
"563","FPGT-TNNI3K","Het_Con"
"564","ZNF710-AS1","Het_Con"
"565","LINC01833","Het_Con"
"566","LINC02254","Het_Con"
"567","LINC00261","common"
"568","LINC01963","common"
"569","GS1-279B7.1","Het_Con"
"570","LASP1NB","Het_Con"
"571","SP2-DT","Het_Con"
"572","TXNIP","Het_Con"
"573","ZNF793-AS1","Het_Con"
"574","CCDC177","Het_Con"
"575","GABRQ","Het_Con"
"576","TRABD2B","common"
"577","SMIM32","common"
"578","H3C6","Het_Con"
"579","PNMA8C","Het_Con"
"580","BLACAT1","common"
"581","GPC3-AS1","Het_Con"
"582","SEMA3F","High_No"
"583","HS3ST1","High_No"
"584","ARX","High_No"
"585","THSD7A","High_No"
"586","PAX6","High_No"
"587","TENM1","High_No"
"588","CD4","High_No"
"589","MYO16","High_No"
"590","TNC","High_No"
"591","ZIC2","High_No"
"592","SPAG4","High_No"
"593","ATP2C2","High_No"
"594","CDON","High_No"
"595","NTN1","High_No"
"596","TLE2","High_No"
"597","REEP1","High_No"
"598","RPS6KA6","High_No"
"599","GLI2","High_No"
"600","MGLL","High_No"
"601","SEMA3C","High_No"
"602","CAPN6","High_No"
"603","DCX","High_No"
"604","DCT","High_No"
"605","EPB41L3","High_No"
"606","PHACTR3","High_No"
"607","TEKT2","High_No"
"608","DSP","High_No"
"609","PCSK5","High_No"
"610","MLC1","High_No"
"611","TRIM9","High_No"
"612","RIN3","High_No"
"613","DHRS2","High_No"
"614","SMAD7","High_No"
"615","ELF4","High_No"
"616","BMF","High_No"
"617","TNFRSF10A","High_No"
