"","genes","state"
"730","RAMP1","C_Hom_DE"
"731","SERPINF1","C_Hom_DE"
"732","EEFSEC","C_Hom_DE"
"733","LANCL2","C_Hom_DE"
"734","FIGNL1","C_Hom_DE"
"735","DDC","common"
"736","DLG4","C_Hom_DE"
"737","RGS22","C_Hom_DE"
"738","MATN2","C_Hom_DE"
"739","PCBD2","C_Hom_DE"
"740","MTSS2","C_Hom_DE"
"741","PCNA","C_Hom_DE"
"742","TESMIN","C_Hom_DE"
"743","TOE1","C_Hom_DE"
"744","NASP","C_Hom_DE"
"745","RBM38","C_Hom_DE"
"746","VSTM2L","C_Hom_DE"
"747","SYT4","C_Hom_DE"
"748","USPL1","C_Hom_DE"
"749","CHRM3","C_Hom_DE"
"750","DCLK1","C_Hom_DE"
"751","TRPC4","C_Hom_DE"
"752","RFXAP","C_Hom_DE"
"753","TPT1","C_Hom_DE"
"754","STOML3","C_Hom_DE"
"755","IRS4","common"
"756","BEX1","C_Hom_DE"
"757","PRAM1","C_Hom_DE"
"758","ZNF414","C_Hom_DE"
"759","PLAAT4","C_Hom_DE"
"760","PLAAT2","C_Hom_DE"
"761","LRRIQ1","C_Hom_DE"
"762","DYDC2","C_Hom_DE"
"763","SPINK5","C_Hom_DE"
"764","TEX15","C_Hom_DE"
"765","RNF122","C_Hom_DE"
"766","VRTN","common"
"767","ADAM20","C_Hom_DE"
"768","TSPAN2","C_Hom_DE"
"769","HMGCS2","C_Hom_DE"
