"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","cluster_1","cluster_2"
"ENSG00000158055",5.57299839233943,1.69523326590345,0.410317861340158,4.13151223874722,3.60384499780874e-05,0.000175690085758277,"GRHL3",2,2
"ENSG00000158220",2.26833548467879,-1.53487318230222,0.505506578449531,-3.03630703879248,0.00239495347121103,0.00759948587620007,"ESYT3",1,1
"ENSG00000158246",52.9202300173863,2.5122815639489,0.152426435918332,16.4819281433238,4.94812771863683e-61,5.595760217321e-59,"TENT5B",2,2
"ENSG00000158458",14.4528683080561,2.52954757458766,0.272888423896039,9.26953052267006,1.8696704646232e-20,4.59784050353493e-19,"NRG2",2,4
"ENSG00000158483",2.89302145807951,-1.45846624591755,0.469239484444512,-3.10814902467998,0.00188263110795175,0.00615353117156702,"FAM86C1P",1,1
"ENSG00000158516",2.0750714534245,-2.16894809675061,0.590038998040372,-3.67594024116047,0.000236974994941991,0.000971270294851003,"CPA2",1,1
"ENSG00000158555",61.6525369042574,2.16100233411119,0.162662555761969,13.2851861572461,2.82155855545754e-40,1.71188282576373e-38,"GDPD5",2,2
"ENSG00000158715",21.7640711975155,1.33609550558047,0.167531042948094,7.97521153136039,1.52120056683422e-15,2.61785074772796e-14,"SLC45A3",2,4
"ENSG00000158792",14.7666683577878,1.16784892167438,0.216703313547044,5.38916042657026,7.0787595911114e-08,5.49380482925471e-07,"SPATA2L",2,2
"ENSG00000158816",8.36835978408544,-2.74344356407074,0.352274912616324,-7.78779148278075,6.81905946204549e-15,1.12015854246091e-13,"VWA5B1",1,1
"ENSG00000158887",6.9943574972485,-2.52573934731032,0.464969457768606,-5.43205431047315,5.57089607082543e-08,4.39750343329937e-07,"MPZ",1,3
"ENSG00000158966",164.765004450092,3.47732352363585,0.123563672157231,28.1419567978771,3.0060541978326e-174,3.12329031154807e-171,"CACHD1",2,4
"ENSG00000159167",29.9926860291012,1.27317835235611,0.205136346866949,6.20649812576557,5.4178266688523e-10,5.57683904291026e-09,"STC1",2,2
"ENSG00000159212",77.8871423599889,3.72703920342171,0.262917650528871,14.1756903575116,1.29562708045544e-45,9.40546051768173e-44,"CLIC6",2,2
"ENSG00000159263",20.556823167066,6.51017962745787,0.614599991199381,10.592547544222,3.2268825226671e-26,1.07935000114321e-24,"SIM2",2,2
"ENSG00000159267",117.133053441457,1.25273459951476,0.117203541661957,10.6885387740922,1.15171150428085e-26,3.97220996829146e-25,"HLCS",2,2
"ENSG00000159307",81.6617247304956,-2.12654961549387,0.23028971541814,-9.23423615176502,2.6013540469607e-20,6.31312550024449e-19,"SCUBE1",1,1
"ENSG00000159403",51.1235182157636,-1.03090604313417,0.179142234693441,-5.75467892816185,8.68066191788597e-09,7.70872455784917e-08,"C1R",1,3
"ENSG00000159556",1.87633847563324,1.8763536910218,0.556856620203123,3.3695454502047,0.000752922730809752,0.00271745277398639,"ISL2",2,4
"ENSG00000159733",2.70608609731369,-1.46977495868867,0.473111909736497,-3.10661162494782,0.0018924484561107,0.00617809718340719,"ZFYVE28",1,3
"ENSG00000160111",33.2187677788821,-1.50987499259716,0.154999853104063,-9.74113821632763,2.01286990020184e-22,5.55846332574008e-21,"CPAMD8",1,1
"ENSG00000160179",2.44544784697873,-1.63895225709456,0.508149652497645,-3.2253338146328,0.00125825862513718,0.00428019058405577,"ABCG1",1,3
"ENSG00000160180",14.99594882253,-6.37299371548562,0.653161037204433,-9.75715536058672,1.71909497947896e-22,4.77896905332078e-21,"TFF3",1,1
"ENSG00000160188",16.7278453039915,-2.99293483288935,0.339759802909867,-8.80897271324157,1.26297923006384e-18,2.74454466935703e-17,"RSPH1",1,1
"ENSG00000160190",31.8227294721814,-1.31452846023352,0.157241613300762,-8.35992732864665,6.27569023119742e-17,1.19094833793865e-15,"SLC37A1",1,1
"ENSG00000160345",32.1940282503923,-1.23347727460913,0.244815021829543,-5.03840518196616,4.69426870943593e-07,3.22602410192901e-06,"PIERCE1",1,1
"ENSG00000160685",10.6171288022733,1.37623761027188,0.256452174544688,5.36644936903065,8.03017285124159e-08,6.17454178903978e-07,"ZBTB7B",2,2
"ENSG00000160712",15.1153587540119,1.97300410221031,0.230027727043764,8.57724469813562,9.71727506659677e-18,1.9748163900624e-16,"IL6R",2,2
"ENSG00000160781",12.6252199719061,-1.46443604566425,0.265947188011733,-5.50649193402879,3.66054727309392e-08,2.95833436402106e-07,"PAQR6",1,3
"ENSG00000160789",357.891398516655,1.22384134113334,0.135105955893697,9.05838186805233,1.32400014045772e-19,3.0527293113688e-18,"LMNA",2,2
"ENSG00000161082",13.81700610801,-1.30043110018814,0.218125599073258,-5.96184540335125,2.49405057460428e-09,2.37463326186836e-08,"CELF5",1,1
"ENSG00000161243",9.17085428338361,1.01196372930889,0.29750764689116,3.401471323119,0.000670241601944847,0.00245420625346501,"FBXO27",2,5
"ENSG00000161558",13.0061313994361,-1.02508357166946,0.211250987989486,-4.85244391718762,1.21949275782219e-06,7.85464843317945e-06,"TMEM143",1,1
"ENSG00000162105",34.3713889052119,-1.40528115445587,0.133935960807783,-10.4921870570119,9.38309200240798e-26,3.0645289086057e-24,"SHANK2",1,1
"ENSG00000162188",3.62281319954175,1.6323622648489,0.467810407699171,3.48936714101198,0.000484165668644183,0.00184437438652898,"GNG3",2,4
"ENSG00000162494",4.72778034051439,3.19486336652138,0.515930059407218,6.19243501763038,5.92417764664998e-10,6.0493568303384e-09,"LRRC38",2,2
"ENSG00000162542",2.73356234761876,-2.43217468978532,0.536363130656536,-4.53456725634406,5.7721707332313e-06,3.24946042225659e-05,"TMCO4",1,1
"ENSG00000162543",10.6052483767072,-1.96132880193554,0.342680670726214,-5.7234882778158,1.04358771321129e-08,9.17652820460036e-08,"UBXN10",1,1
"ENSG00000162551",86.6267802001255,2.06188142156372,0.139154362798006,14.8172244125518,1.13373127914069e-49,9.51876201234079e-48,"ALPL",2,2
"ENSG00000162552",11.1365237943123,3.32074911753235,0.389592387984138,8.52364989653634,1.54602475456873e-17,3.09651994216272e-16,"WNT4",2,2
"ENSG00000162576",23.3376164053999,-1.61730225711816,0.200143352881338,-8.08071931360633,6.43858519807005e-16,1.14475978965472e-14,"MXRA8",1,1
"ENSG00000162599",21.3127043990304,-2.90600256079563,0.248105370025547,-11.7127757472416,1.09630733861724e-31,4.88606251934932e-30,"NFIA",1,1
"ENSG00000162618",9.74377660161296,1.62637648312617,0.315665150639936,5.1522205724296,2.57420008041786e-07,1.8382088546764e-06,"ADGRL4",2,5
"ENSG00000162631",37.8326252016808,-2.55515468277798,0.234283962713748,-10.9062295736388,1.0762823673953e-27,3.88959088599553e-26,"NTNG1",1,1
"ENSG00000162643",7.50327919472866,-1.45640593511812,0.370000887516374,-3.93622281528628,8.27741251981367e-05,0.000374126442983639,"DNAI3",1,1
"ENSG00000162692",118.458960298591,1.11291646474666,0.176835941839568,6.29349697334908,3.10392562646121e-10,3.29499742109139e-09,"VCAM1",2,4
"ENSG00000162745",53.4021476301504,1.19520739366811,0.109958075638954,10.8696645218908,1.60790984062141e-27,5.78569116677279e-26,"OLFML2B",2,2
"ENSG00000162761",124.818376289482,1.06401933223305,0.262349600832575,4.05573070763726,4.9977814115362e-05,0.000237244769232946,"LMX1A",2,4
"ENSG00000162772",253.90754664116,2.74895924515406,0.115195650648839,23.8633944048284,7.35249736485223e-126,3.59493871156775e-123,"ATF3",2,4
"ENSG00000162814",17.0648010489299,-1.17512306428572,0.229041599601864,-5.13060975092908,2.88805110371576e-07,2.04912341221386e-06,"SPATA17",1,1
"ENSG00000162825",13.2097378149952,-1.4320862684839,0.222214552767813,-6.44461062809083,1.15897571039649e-10,1.27764006695168e-09,"NBPF20",1,1
"ENSG00000162878",58.3183657052299,-2.49899524887809,0.166435771525299,-15.0147725214121,5.87631195020146e-51,5.1961600989441e-49,"PKDCC",1,1
"ENSG00000162976",29.0368869983473,-1.2646389256751,0.159541193139706,-7.92672350499278,2.25003497077485e-15,3.82069268173249e-14,"SLC66A3",1,1
"ENSG00000162998",267.054732101775,-2.31582056136255,0.257130584355903,-9.00639870268077,2.12933956195153e-19,4.85571205457918e-18,"FRZB",1,1
"ENSG00000163013",11.155332952517,-1.53627319746381,0.238275579578962,-6.44746389948326,1.13737251318438e-10,1.25802870578801e-09,"FBXO41",1,1
"ENSG00000163032",4.56750455562601,2.5655981607082,0.418757336571902,6.12669423707562,8.97236575746268e-10,8.97992825719805e-09,"VSNL1",2,4
"ENSG00000163064",5.22537554856312,4.85793987780834,0.667569729270523,7.27705236592555,3.4119284489466e-13,4.8395817862874e-12,"EN1",2,2
"ENSG00000163121",4.14851632886341,2.88578005395939,0.497245544004526,5.80353125081623,6.49326438253847e-09,5.88250828857327e-08,"NEURL3",2,4
"ENSG00000163132",300.30175411905,4.79754781972688,0.115926059574275,41.3845500946491,0,0,"MSX1",2,2
"ENSG00000163171",194.841453468226,-1.23571686900674,0.0659899203100103,-18.7258427226694,3.04809496386091e-78,5.89203845107253e-76,"CDC42EP3",1,1
"ENSG00000163191",72.4036514593823,1.5480262326934,0.142965085980916,10.8280019703555,2.5362910865653e-27,9.04791910366128e-26,"S100A11",2,2
"ENSG00000163251",613.772204327764,-5.94784385065631,0.205414762710143,-28.9552891534344,2.40737921229859e-184,2.66801813501678e-181,"FZD5",1,1
"ENSG00000163273",6.38173444775352,2.12395267560682,0.405884215511646,5.23290286844347,1.66868437120973e-07,1.22527424854199e-06,"NPPC",2,2
"ENSG00000163293",7.37189292061113,1.09983643550307,0.274182261952565,4.01133329220746,6.0376803478392e-05,0.000281307169569728,"NIPAL1",2,2
"ENSG00000163347",13.1967564824803,1.19969677604203,0.242503271391078,4.94713646195443,7.53131803751225e-07,5.01806136495405e-06,"CLDN1",2,4
"ENSG00000163435",21.3129603042747,1.30626021513245,0.160825333375325,8.12222917694177,4.5769800259955e-16,8.22569902185396e-15,"ELF3",2,2
"ENSG00000163485",5.61720643250124,3.78197198101232,0.49993929118778,7.56486246965493,3.88275184525409e-14,5.98764996989834e-13,"ADORA1",2,4
"ENSG00000163508",2.13596458265371,3.64829796723842,0.740980540030799,4.9236083407626,8.49628027586635e-07,5.61152814088209e-06,"EOMES",2,4
"ENSG00000163536",25.0354571169885,-2.39738349884309,0.204372577903343,-11.7304558343288,8.89782030963242e-32,4.00860067282736e-30,"SERPINI1",1,1
"ENSG00000163545",259.565301627329,1.86932994812894,0.0772965124024472,24.1838847579074,3.2875927075421e-129,1.76299810226387e-126,"NUAK2",2,2
"ENSG00000163590",109.417482043972,-1.46212430268121,0.133103323762486,-10.9848819800343,4.51828757876231e-28,1.68035822615984e-26,"PPM1L",1,1
