"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","clusters"
"ENSG00000128891",8.56687006492732,0.587953679995884,0.240012431465365,2.44968011201007,0.0142983179077815,0.039950998292456,"CCDC32",NA
"ENSG00000128908",60.0247173173764,0.120883504702199,0.101149453747386,1.19509794886385,0.232048763297357,0.372345315564667,"INO80",NA
"ENSG00000128915",133.965647076924,0.135729604404774,0.0770338730867575,1.7619470366226,0.0780782464112939,0.161573788207442,"ICE2",NA
"ENSG00000128917",2.40086642323365,0.845930372122556,0.449224354378119,1.88309107437778,0.059688026617254,0.130364586935917,"DLL4",NA
"ENSG00000128918",3.68228112144053,0.126793147617453,0.577288357534762,0.219635726171419,0.82615486526165,0.89117308095488,"ALDH1A2",NA
"ENSG00000128923",265.340007767445,-0.156907451832865,0.0557926181729522,-2.8123335482566,0.00491834719613948,0.0159644495955251,"MINDY2",NA
"ENSG00000128928",84.5606430335693,0.53378909109501,0.112443830675666,4.74716209762256,2.06290621920987e-06,1.45758406957309e-05,"IVD",NA
"ENSG00000128944",142.867821587611,-0.358356533068856,0.0681299164978976,-5.25989978396516,1.44133933996471e-07,1.22715721127809e-06,"KNSTRN",NA
"ENSG00000128951",363.565579538027,0.259117258005747,0.0617741101210121,4.19459313129967,2.73361820764103e-05,0.000155240891471703,"DUT",NA
"ENSG00000128965",20.6699452651006,-0.598396018262821,0.271132680770071,-2.20702283680174,0.0273124639298003,0.0690310268384129,"CHAC1",NA
"ENSG00000128973",42.4575804279575,0.593019095910657,0.222470128157648,2.66561223667039,0.00768482748891506,0.0235740270358452,"CLN6",NA
"ENSG00000128989",555.827819015827,0.0182710123930462,0.0609455939068424,0.299792178922305,0.76433568141631,0.84938359577492,"ARPP19",NA
"ENSG00000129003",173.975269968669,0.307231373781619,0.0694797242606015,4.42188533491108,9.7843380406193e-06,6.04746626216199e-05,"VPS13C",NA
"ENSG00000129009",1.42173043221055,2.41036488476467,0.67588881696138,3.56621507010731,0.000362174181267289,0.00160307702794869,"ISLR",1
"ENSG00000129028",20.6849990064647,-0.081067837352619,0.170304193319081,-0.476017858237529,0.634061655285941,0.752091468464052,"THAP10",NA
"ENSG00000129038",102.757396339287,0.820498168671347,0.0961666448674011,8.53204528246448,1.43782751411851e-17,3.33715408973833e-16,"LOXL1",NA
